Sigla;Nome;Estrato;Indice.H;ISSN
SBES;Simpósio Brasileiro de Engenharia de Software;B2;16;
SBESC;Simpósio Brasileiro de Engenharia de Sistemas Computacionais;B4;6;
SBGames;Simpósio Brasileiro de Jogos e Entretenimento Digital;B4;7;
SBIA;Brazilian Symposium on Artificial Intelligence;B2;19;
SBIE;Simpósio Brasileiro de Informática na Educação;B2;18;
SBLP;Simpósio Brasileiro de Linguagens de Programação;B3;13;
SBM;Eurographics Workshop on Sketch'Based Interfaces and Modeling;B3;14;
SBMF;Simpósio Brasileiro de Métodos Formais;B4;7;
SBPO;Simpósio Brasileiro de Pesquisa Operacional;B4;9;
SBQS;Simpósio Brasileiro de Qualidade de Software;B3;11;
SBRC;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos;B2;16;
SBRN;Simpósio Brasileiro de Redes Neurais;B3;14;
SBRT;Simpósio Brasileiro de Telecomunicações;B4;6;
SBSC;Simpósio Brasileiro de Sistemas Colaborativos;B4;5;
SBSE;Simpósio Brasileiro de Sistemas Elétricos;B5;3;
SBSEG;Simpósio de Segurança da Informação e Sistemas Computacionais;B4;8;
SBSI;Simpósio Brasileiro de Sistemas de Informação;B4;7;
SC;ACM/IEEE Conference on High Performance Networking and Computing;A1;76;
SCA;ACM SIGGRAPH / Eurographics Symposium on Computer Animation;A2;39;
SCAM;IEEE International Workshop on Source Code Analysis and Manipulation;B3;15;
SCAN;GAMM / IMACS International Symposion on Scientific Computing Computer Arithmetic and Validated Numerics;B4;7;
SCC;IEEE International Conference on Services Computing;B1;33;
SCCC;International Conference of the Chilean Computer Science Society;B3;13;
SCCI;IEEE Symp. Series on Computational Intelligence;B5;3;
SCN;International Conference on Security in Communication Networks;B2;16;
SCOPES;International Workshop on Software and Compilers for Embedded Systems;B2;16;
SCSC;Summer Computer Simulation Conference;B3;15;
SCW;IEEE Workshop on Speech Coding;B2;18;
SC_A;International Symposium on Software Composition;B2;21;
SDKB;International Workshops on Semantics in Data and Knowledge Bases;B4;6;
SDM;SIAM International Conference on Data Mining;A2;51;
SEA;Symposium on Experimental Algorithms;B1;26;
SEAA;Euromicro Conference on Software Engineering and Advanced Applications;B1;31;
SEAL;International Conference on Simulated Evolution and Learning;B3;11;
SEAMS;International Symposium on Software engineering for adaptive and self'managing systems;B3;12;
SEAS;Workshop on Software Engineering for Agent'Oriented Systems;B4;5;
SEA_A;Software Engineering and Applications;B4;7;
SEBIZ;Applications and Business Aspects of the Semantic Web;B5;2;
SEC;IFIP International Information Security Conference;B1;28;
SECIII;Social, Ethical and Cognitive Issues on Informatics and ICT;B5;2;
SECON;IEEE Conference on Sensor Mesh and Ad Hoc Communications and Networks;B1;30;
SECPERU;International Workshop on Security, Privacy and Trust in Pervasive and Ubiquitous Computing;B4;10;
SECRYPT;International Conference on Information Security and Cryptology;B4;9;
SECURECOMM;Security and Privacy in Communication Networks;B1;25;
SECURITY;Usenix Security Symposium;A1;81;
SECURWARE;International Conference on Emerging Security Information, Systems, and Technologies;B3;11;
SEDE;Software Engineering and Data Engineering;B4;5;
SEFM;IEEE International Conference on Software Engineering and Formal Methods;B1;26;
SEKE;International Conference on Software Engineering and Knowledge Engineering;B1;35;
SELMAS;International Workshop on Software Engineering for Large'Scale Multi' Agent Systems;B3;11;
SEMAPRO;International Conference on Advances in Semantic Processing;B4;5;
SemDial;Workshop on the Semantics and Pragmatics of Dialogue;B5;3;
SemEval;International Workshop on Semantic Evaluations;B4;6;
SEMISH;Seminário Integrado de Software e Hardware;B4;9;
SemWiki;Semantic Wiki Workshop;B3;14;
SENSYS;ACM Conference on Embedded Networked Sensor Systems;A1;86;
SERA;ACIS International Conference on Software Engineering Research, Management and Applications;B3;14;
SERP;International Conference on Software Engineering Research & Practice;B2;17;
SERVICES;IEEE Congress on Services;B2;16;
ServiceWave;ServiceWave;B4;9;
SESS;Software Engineering for Secure Systems;B4;7;
SEW;Annual Software Engineering Workshop;B2;20;
SForum;Microelectronics Students Forum;B5;1;
SGP;Eurographics Symposium on Geometry Processing;B4;7;
SIBGRAPI;Conference on Graphics, Patterns and Images;B1;28;
SIES;International Symposium on Industrial Embedded Systems;B3;13;
SIGCOMM;ACM Special Interest Group on Data Communications Conference;A1;145;
SIGCSE;ACM Technical Symposium on Computer Science Education;A2;53;
SIGdial;Workshop on Discourse and Dialogue;B2;15;
SIGDOC;ACM International Conference on Design of Communication;B1;24;
SIGIR;Annual International ACM SIGIR Conference on Research & Development in Information Retrieval;A1;122;
SIGITE;Information Technology Education;B3;15;
SIGMETRICS;ACM Conference on Measurement and Modelling of Computing Systems;A1;73;
SIGMOD;ACM SIGMOD International Conference on Management of Data Conference;A1;151;
SIGSEM;ACL Workshop on Prepositions;B4;2;
SIIE;Simpósio Internacional de Informática Educativa;B4;6;
SIIT;International Conference on Standardization and Innovation in Information Technology;B4;10;
SIN;International Conference on Security of Information and Networks;B4;7;
SInT;IEEE International Symposium on Information Theory;A1;60;
SIPS;IEEE Workshop on Signal Processing Systems Design and Implementation;B3;15;
SIROCCO;Colloquium on Structural Information and Communication Complexity;B2;21;
SITE;Society for Information Technology and Teacher Education Conference;B4;10;
SLE;International Conference on Software Language Engineering;B5;3;
SLS;Engineering Stochastic Local Search Algorithms;B4;9;
SLT;IEEE Spoken Language Technology Workshop;B2;16;
SMAP;International Workshop on Semantic and Social Media Adaptation and Personalization;B4;9;
SMC;IEEE International Conference on Systems Man and Cybernetics;B2;19;
SMC_A;Sound and Music Computing Conference;B2;16;
SMI;IEEE International Conference on Shape Modeling and Applications;A2;38;
SOAS;Self'Organization and Autonomous Systems in Computing and Communications;B4;8;
SOC;International Symposium on System'on'Chip;B4;10;
SOCASE;International Workshop on Service'Oriented Computing: Agents, Semantics, and Engineering;B4;7;
SOCC;IEEE International SOC Conference;B2;20;
SoCG;Annual ACM Symposium on Computational Geometry;A2;49;
SocialCom;International Conference on Social Computing and its Applications;B4;10;
SOCINFO;International Workshop on Social Informatics;B4;4;
SOCO;International Conference on Soft Computing Models in Industrial and Environmental Applications;B4;4;
SODA;ACM'SIAM Symposium on Discrete Algorithms;A1;85;
SOFSEM;Conference on Current Trends in Theory and Practice of Computer Science;B1;22;
SOFTCOMM;International Conference on Software Telecommunications and Computer Networks;B4;8;
Softvis;Software Visualization;B1;28;
SoICT;Symposium on Information and Communication Technology;B5;3;
SoMeT;Software Methodologies, Tools and Techniques;B4;10;
SOSE;International Symposium on Service'Oriented System Engineering;B2;16;
SOSP;ACM Symposium on Operating Systems Principles;A1;71;
SOUPS;Symposium On Usable Privacy and Security;B1;29;
SPAA;ACM Symposium on Parallel Algorithms and Architectures;A2;46;
SPECTS;International Symposium on Performance Evaluation of Computer and Telecommunication Systems;B4;8;
SPICE;International Software Process Improvement and Capability Determination Conference;B4;3;
SPIRE;Symposium on String Processing and Information Retrieval;B1;33;
SPL;Southern Conference on Programmable Logic;B4;6;
SPLC;Software Product Line Conference;A2;43;
SPW;International Workshop on Security Protocols;B4;5;
SQC;Software and Systems Quality Conferences;B5;2;
SQM;International Conference on Software Quality Management;B4;7;
SRDS;IEEE International Symposium on Reliable Distributed Systems;A2;40;
SREIS;Symposium on Requirements Engineering for Information Security;B4;5;
SRUTI;Steps to Reducing Unwanted Traffic on the Internet Workshop;B4;8;
SSBSE;International Symposium on Search Based Software Engineering;B4;7;
SSC;IFAC Conference on System Structure and Control;B4;5;
SSDBM;International Conference on Scientific and Statistical Database Management;A2;38;
SSI;Symposium on System and Information Security;B4;7;
SSIRI;Secure System Integration and Reliability Improvement;B4;7;
SSIRI'C;IEEE International Conference on Secure Software Integration and Reliability Improvement Companion;B4;6;
SSPR;International Workshop on Structural and Syntactic Pattern Recognition;B1;25;
SSR;ACM SIGSOFT Working Conference on Software Reusability;B4;3;
SSRR;IEEE International Workshop on Safety, Security, & Rescue Robots;B4;6;
SSST;Workshop on Syntax, Semantics and Structure in Statistical Translation;B5;1;
SSTD;International Symposium on Spatial and Temporal Databases;B1;33;
STACS;International Symposium on Theoretical Aspects of Computer Science;A2;44;
STAIRS;Starting Artificial Intelligence Research Symposium;B4;8;
STEP;IEEE International Workshop on Software Technology and Engineering Practice;B3;14;
STFSSD;Software Technologies for Future Dependable Distributed Systems;B4;4;
STIL;Brazilian Symposium in Information and Human Language Technology;B4;5;
STOC;ACM Symposium on Theory of Computing;A1;100;
Storage;IEEE Symposium on Mass Storage Systems;B1;28;
SugarLoafPlop;Latin American Conference on Pattern Languages of Programming;B5;3;
SUPER;ACM/IEEE Supercomputing Conference;A1;76;
SVR;Symposium on Virtual and Augmented Reality;B4;9;
SWAP;Workshop on Semantic Web Applications and Perspectives;B3;13;
SWAT;Scandinavian Symposium and Workshops on Algorithm Theory;B1;26;
SWEL;Workshop on Ontologies and Social Semantic Web for Intelligent Educational Systems;B4;4;
SWWS;Semantic Web and Web Services;A2;38;
SYROCO;International IFAC Symposium on Robot Control;B3;11;
T4E;International Workshop on Technology for Education;B5;3;
TABLEAUX;International Conference on Theorem Proving with Analytic Tableaux and Related Methods;B1;24;
TAC;Text Analysis Conference;B2;20;
TACAS;International Conference on Tools and Algorithms for the Construction and Analysis of Systems;A1;68;
TAG+;International Workhop on Tree Adjoining Grammar and Related Formalisms;B4;3;
TALN;Traitement Automatique des Langues Naturelles;B4;7;
TAP;Tests and Proofs;B3;12;
TaPP;USENIX Workshop on the Theory and Practice of Provenance;B4;4;
TARK;Conference on Theoretical Aspects of Rationality and Knowledge;B2;19;
TASE;IEEE/IFIP International Symposium on Theoretical Aspects of Software Engineering;B3;11;
TAU;IEEE International Workshop on Timing Issues;B4;4;
TCC;Theory of Cryptography Conference;A2;47;
TCGOV;International Conference on E'Government;B4;9;
TCoB;International Workshop on Technologies for Collaborative Business Process Management;B5;2;
TCS;IFIP International Conference on Theoetical Computer Science;B1;25;
TEAA;International Conference on Trends in Enterprise Application Architecture;B4;5;
TEAR;Trends in Enterprise Architecture Research;B5;3;
TECHEDUCA;International Conference on Technology Enhanced Learning, Quality of Teaching and Education Reform;B4;4;
TEI;Tangible and Embedded Interaction;B1;25;
TEL;Technology for Education and Learning;B5;1;
TES;International Workshop on Technologies for E'Services;B2;21;
TextGraphs;Graph'based Methods for Natural Language Processing;B4;10;
TFP;Trends in Functional Programming;B3;6;
TIDSE;International Conference on Technology for Interactive Digital Storytelling and Entertainment;B2;18;
TIME;International Symposium on Temporal Representation and Reasoning;B1;23;
TISE;Taller Internacional de Software Educativo;B4;4;
TLCA;Typed Lambda Calculus and Applications;B1;23;
TLT;International Workshop on Treebanks and Linguistic Theories;B4;7;
TMRA;International Conference on Topic Maps Research and Applications;B5;1;
TOOLS;Technology of Object'Oriented Languages and Systems Conferences;B1;27;
TPDL;International Conference on Theory and Practice of Digital Libraries;B1;34;
TPHOLs;International Conference on Theorem Proving in Higher Order Logics;B1;35;
TREC;Text Retrieval Conference;A2;51;
TRIDENTCOM;International Conference on Testbeds and Research Infrastructure for the Development of Networks and Communities;B1;22;
TRUST;Trust in Agent Societies;B4;8;
TSD;International Conference on Text Speech and Dialogue;B1;23;
UAI;Conference in Uncertainty in Artifical Intelligence;A1;70;
UBICOMM;International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies;B3;11;
UbiComp;International Conference on Ubiquitous Computing;A1;70;
UCAS;International Workshop on Unique Chips and Systems;B4;4;
UDMS;Urban Data Management Symposium;B4;8;
UIC;International Conference on Ubiquitous Intelligence and Computing;B2;17;
UIST;ACM Symposium on USer Interface Software and Technology;A1;77;
UMAP;International Conference on User Modeling, Adaption and Personalization;B1;35;
UNISCON;International United Information Systems Conference;B4;9;
URSW;Uncertainty Reasoning for the Semantic Web;B4;10;
USENIX;USENIX Annual Technical Conference;A1;67;
USITS;USENIX Symposium on Internet Technologies and Systems;B1;31;
VAMOS;International Workshop on Variability Modelling of Software'intensive Systems;B3;14;
VAST;IEEE Symposium on Visual Analytics Science and Technology;B1;24;
VCIP;SPIE International Conference on Visual Communications and Image Processing;B1;31;
VDEA;SPIE Conference on Visual Data Exploration and Analysis;B5;2;
VECIMS;IEEE International Conference on Virtual Environments Human'Computer Interfaces and Measurement Systems;B4;4;
VECPAR;International Meeting on High Performance Computing for Computational Science;B4;10;
VG;IEEE International Workshop on Volume Graphics;B4;10;
VIIP;International Conference on Visualization: Imaging and Image Processing;B3;11;
Virtual;International Workshop on Virtual Rehabilitation;B4;10;
Vis;IEEE Visualization Conference;B4;4;
VISAPP;International Conference on Computer Vision Theory and Applications;B3;14;
VISUAL;International Conference on Visual Information Systems;B2;16;
VIZSEC;IEEE Workshops on Visualization for Computer Security;B1;23;
VL/HCC;IEEE Symposium on Visual Languages and Human'Centric Computing;B1;25;
VLFM;Symposium on Visual Languages and Formal Methods;B4;2;
VLSI'DAT;International Symposium on VLSI Design, Automation and Test;B4;9;
VLSI'SOC;IFIP International Conference on Very Large Scale Integration;B3;15;
VLSID;International Conference on VLSI Design;A2;40;
VMCAI;Verification, Model Checking, and Abstract Interpretation;A2;40;
VMIL;Workshop on Virtual Machines and Intermediate Languages;B4;7;
VNC;IEEE Vehicular Networking Conference;B4;6;
VR;IEEE Virtual Reality Conference;A2;40;
VRCAI;International Conference on Virtual Reality Continuum and its Applications in Industry;B2;17;
VRCIA;ACM SIGGRAPH International Conference on Virtual'Reality Continuum and its Applications in Industry;B2;18;
VRST;ACM Virtual Reality Software and Technology;B1;32;
VS'Games;IEEE Conference in Serious Games and Virtual Worlds;B4;7;
VSMM;International Conference on Virtual Systems and MultiMedia;B3;9;
VSSN;ACM International Workshop on Video Surveillance and Sensor Networks;B2;20;
VTC;IEEE Vehicular Technology Conference;A1;98;
VTS;IEEE VLSI Test Symposium;A2;47;
W2GIS;International Workshop on Web and Wireless Geographical Information Systems;B3;11;
W4A;International Cross'Disciplinary Conference on Web Accessibility;B1;26;
WAAMD;Workshop em Algoritmos e Aplicações de Mineração de Dados;B4;4;
WABI;Workshop on Algorithms in Bioinformatics;B1;34;
WAC;Web as Corpus Workshop;B4;6;
WACC;WSEAS Applied Computing Conference;B5;3;
WACERTS;Workshop on Architectures for Cooperative Embedded Real'Time Systems;B5;2;
WACV;IEEE Workshop on Applications of Computer Vision;B1;33;
WADS;Workshop on Algorithms and Data Structures;B1;25;
WADS_A;Workshop on Architecting Dependable Systems;B1;24;
WAFR;Workshop on the Algorithmic Foundations of Robotics;B4;5;
WAIM;Interational Conference on Web Age Information Management;B2;21;
WAIS;International Workshop on Artificial Intelligence and Statistics;B3;10;
WAMCA;Workshop on Architecture for Multi'Core Applications;B5;1;
WAMPS;Workshop anual do MPS.BR pessoal enviou meta'dados separadamente);B5;2;
WAOA;Workshop on Approximation and Online Algorithms;B4;4;
WASA;International Conference on Wireless Algorithms Systems and Applications;B4;9;
WASSA;Workshop on Computational Approaches to Subjectivity and Sentiment Analysis;B5;1;
WBC;Web Based Communities;B4;6;
WBE;International Symposium on Web'based Education;B5;1;
WBPM;Workshop Brasileiro de Gestão de Processos de Negócio;B5;1;
WCAE;Workshop on Computer Architecture Education;B4;6;
WCAMA;Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais;B5;1;
WCCE;IFIP World Conference on Computers in Education;B4;8;
WCCI;IEEE World Congress on Computational Intelligence;B4;8;
WCCM;World Congress on Computational Mechanics;B3;11;
WCGA;Workshop de Computação em Grade e Aplicações;B4;4;
WCGE;Workshop de Computação Aplicada em Governo Eletrônico;B5;1;
WCNC;IEEE Wireless and Communications and Networking Conference;A2;34;
WCOLDE;ICDE World Conference on Open Learning and Distance Education;B4;4;
WCRE;IEEE Working Conference on Reverse Engineering;A2;43;
WCSMO;World Congress on Structural and Multidisciplinary Optimization;A2;53;
WCW;Web Caching Workshop;B3;9;
WD;IFIP Wireless Days;B4;8;
WDBC;Worshop Brasileiro de Desenvolvimento Baseado em Componentes;B5;2;
WDDD;Workshop on Duplicating, Deconstructing and Debunking;B4;10;
WDDDM;Workshop on Dependable Distributed Data Management;B4;7;
WDL;Workshop de Bibliotecas Digitais;B5;1;
WEAC;Workshop sobre Educação em Arquitetura de Computadores;B5;3;
Web3D;International Conference on 3D Web Technology;B1;31;
WebDB;International Workshop on the Web and Databases;B1;34;
WEBIST;International Conference on Web Information Systems and Technologies;B3;11;
WebKDD;Web Mining and Web Usage Analysis;B4;4;
WEBMEDIA;Brazilian Symposium on Multimedia and the Web;B3;12;
WebNet;World Conference on the WWW and Internet;B2;16;
WebPRES;Web Personalization and Recommender Systems;B5;2;
WEED;Workshop on Energy'Efficient Design;B5;1;
WEI;Workshop sobre Educação em Informática;B4;9;
WEIS;Workshop on the Economics of Information Security;B1;26;
WER;Workshop de Engenharia de Requisitos;B3;14;
WES;International Workshop on Web Services, E'Business, and the Semantic Web;B2;16;
WESAAC;Workshop'Escola de Sistemas de Agentes, seus Ambientes e Aplicações;B5;1;
WETICE;IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises;B1;33;
WFLP;International Workshop on Functional and Constraint) Logic Programming;B4;7;
WG;International Workshop on Graph'Theoretic Concepts in Computer Science;B1;25;
WGRS;Workshop de Gerência e Operação de Redes e Serviços;B5;3;
WI;IEEE/WIC/ACM International Conference on Web Intelligence;A2;39;
WICON;International Conference on Wireless Internet;B3;13;
WICSA;Working IEEE/IFIP Conference on Software Architecture;B1;32;
WIDM;ACM International Workshop on Web Information and Data Management;B1;32;
WIE;Workshop sobre Informática na Escola;B3;11;
WIM;Workshop de Informática Médica;B4;4;
WiMOB;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications;B1;23;
WiOpt;International Symposium on Modeling and Optimization in Mobile Ad Hoc and Wireless Networks;B1;24;
WIS;International Workshop on Wireless Information Systems;B4;7;
WISA;Web Information Systems and Applications Conference;B4;9;
WISE;International Conference on Web Information Systems Engineering;B1;35;
WISEC;Wireless Network Security;B1;22;
WISM;Web Information Systems Modeling;B4;6;
WISP;IEEE International Workshop on Intelligent Signal Processing;B3;13;
WISTDCS;WOMBAT Workshop on Information Security Threats Data Collection and Sharing;B4;4;
WITS;Workshop on Information Technologies and Systems;B3;11;
WKDD;International Workshop on Knowledge Discovery and Data Mining;B4;10;
WMIS;Workshop on Mobile Information Systems;B3;12;
WMT;Workshop on Statistical Machine Translation;B5;3;
WMUTE;IEEE Wireless, Mobile and Ubiquitous Technologies in Education;B3;14;
WOCC;Annual Wireless and Optical Communications Conference;B2;20;
WOCN;IFIP International Conference on Wireless and Optical Communications Networks;B2;19;
WoLLIC;Workshop on Logic, Language, Information and Computation;B3;11;
WOMSDE;Workshop on Ontologies and Metamodels in Software Engineering WOMSDE);B4;5;
WONS;International Conference on Wireless on Demand Network Systems and Service;B4;9;
WORDS;IEEE International Workshop on Object'Oriented Real'Time Dependable Systems;B1;24;
WORKS;Workshop on Workflows in Support of Large'Scale Science;B4;9;
WorldHAPTICS;Joint EUROHAPTICS Conference and Symposium on Haptics Interfaces for Virtual Environment and Teleoperator Systems;B1;26;
WORM;ACM Workshop on Recurring Malcode;B1;36;
WoSAR;International Workshop on Software Aging and Rejuvenation;B4;4;
WoSIDA;Workshop on Autonomic Distributed Systems;B5;1;
WoWMoM;IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks;B3;6;
WP2P;Workshop de Peer'to'Peer;B5;3;
WPERFORMANCE;Workshop em Desempenho de Sistemas Computacionais e de Comunicação;B5;3;
WRC;Workshop on Reconfigurable Computing;B4;4;
WRS;International Workshop on Reduction Strategies in Rewriting and Programming;B5;1;
WRT;International Workshop on Refactoring Tools;B4;6;
WRVA;Workshop de Realidade Virtual e Aumentada;B5;2;
WS'REST;International Workshop on RESTful Design;B4;6;
WSC;Winter Simulation Conference;A1;56;
WSCAD'SSC;Simpósio em Sistemas Computacionais;B4;4;
WSCG;International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision;B1;30;
WSDM;International Conference on Web Search and Data Mining;B1;35;
WSE;IEEE International Symposium on Web Systems Evolution;B2;20;
WSKS;World Summit on the Knowledge Society;B4;10;
WSNA;ACM International Conference on Wireless Sensor Networks and Application;B1;29;
WSOM;Workshop on Self'Organizing Maps;B4;9;
WSPI;International Workshop on Philosophy and Informatics;B4;5;
WSWED;Brazilian Workshop on Semantic Web and Education;B5;1;
WTF;Workshop de Testes e Tolerância a Falhas;B4;4;
WTI;International Workshop on Web and Text Intelligence;B5;3;
WTS;Wireless Telecommunications Symposium;B3;14;
WUWNET;International Conference on Underwater Networks;B2;16;
WVC;Workshop de Visão computacional;B5;3;
WWIC;Wired/Wireless Internet Communications;B3;15;
WWW;International World Wide Web Conference;A1;145;
X'Meeting;International Conference of the Brazilian Association for Bioinformatics and Computational Biology;B4;8;
XP;International Conference on Agile Processes in Software Engineering and eXtreme Programming;B2;20;
XSym;International XML Database Symposium;B3;15;
;ACM Journal of Experimental Algorithmics;B4;;1084-6654
;ACM Journal on Emerging Technologies in Computing Systems;B2;;1550-4832
;ACM SIGPLAN Notices;C ;;1523-2867
;ACM Transactions on Database Systems;A2;;0362-5915
;ACM Transactions on Design Automation of Electronic Systems;B1;;1084-4309
;ACM Transactions on Embedded Computing Systems;B2;;1539-9087
;ACM Transactions on Intelligent Systems and Technology;A1;;2157-6904
;ACM Transactions on Internet Technology;B1;;1533-5399
;ACM Transactions on Knowledge Discovery from Data;B1;;1556-4681
;ACM Transactions on Reconfigurable Technology and Systems;B3;;1936-7406
;ACM Transactions on Sensor Networks;B1;;1550-4859
;Acta Crystallographica. Section F: Structural Biology Communications;C ;;2053-230X
;Ad Hoc Networks;B1;;1570-8705
;Advanced Materials Research (Online);B5;;1662-8985
;Advances in Engineering Software (1992);B1;;0965-9978
;Advances in Space Research;B4;;0273-1177
;African Journal of Agricultural Research;B5;;1991-637X
;Agricultural Sciences;C ;;2156-8553
;Agricultural Systems;B3;;0308-521X
;Anais do ... Simpósio Brasileiro de Informática na Educação;C ;;2176-4301
;Analog Integrated Circuits and Signal Processing;B1;;0925-1030
;Andamios -Revista de Investigación Social;C ;;1870-0063
;Annales des Telecommunications;B2;;0003-4347
;Annals of Mathematics and Artificial Intelligence;B1;;1012-2443
;Annals of Operation Research;A2;;0254-5330
;Annals of Operations Research (Dordrecht. Online);A2;;1572-9338
;Antonie van Leeuwenhoek (Gedrukt);B3;;0003-6072
;Applied Engineering in Agriculture;B5;;0883-8542
;Applied Ergonomics;B4;;0003-6870
;Applied Intelligence (Boston);B1;;0924-669X
;Applied Intelligence (Dordrecht. Online);B1;;1573-7497
;Applied Mechanics and Materials;B5;;1660-9336
;Applied Soft Computing (Print);A2;;1568-4946
;Arquivo Brasileiro de Medicina Veterinária e Zootecnia;B5;;0102-0935
;Arquivos Catarinenses de Medicina (Impresso);C ;;0004-2773
;Ars Combinatoria;B2;;0381-7032
;Art Music Review;C ;;2317-6059
;Artificial Intelligence in Medicine (Print);B1;;0933-3657
;AtoZ: novas práticas em informação e conhecimento;C ;;2237-826X
;Automatica (Oxford);A1;;0005-1098
;Autonomous Agents and Multi-Agent Systems (Dordrecht. Online);B1;;1573-7454
;Ação Ergonômica;C ;;1519-7859
;BIT Numerical Mathematics;B1;;0006-3835
;BMC Bioinformatics;A1;;1471-2105
;BMC Genomics;B2;;1471-2164
;BMC Medical Genomics;B2;;1755-8794
;BMC Research Notes;B5;;1756-0500
;BioMed Research International;C ;;2314-6141
;BioMed Research International;C ;;2314-6133
;Bioinformatics (Oxford. Print);A1;;1367-4803
;Biomedical Engineering Online (Online);B3;;1475-925X
;Brazilian Journal of Probability and Statistics;B5;;0103-0752
;Brazilian Journalism Research (Online);C ;;1981-9854
;Business Process Management Journal;B5;;1463-7154
;C&T. Revista Militar de Ciência e Tecnologia;C ;;0102-3543
;CLEI Electronic Journal;B5;;0717-5000
;Caderno de Graduação - Ciências Biológicas e da Saúde FITS;C ;;2316-6738
;Cadernos ADENAUER (São Paulo);C ;;1519-0951
;Cadernos de Informática (UFRGS);C ;;1519-132X
;Cadernos de Pesquisa;C ;;2178-2229
;Cadernos de Prospecção;C ;;2317-0026
;Cadernos de Saúde Pública (ENSP. Impresso);C ;;0102-311X
;Cancer Informatics;B2;;1176-9351
;Carnets de Géologie;B5;;1634-0744
;Case Reports in Rheumatology;C ;;2090-6889
;Chaos (Woodbury, N.Y.);B3;;1054-1500
;Chemistry Letters;B4;;0366-7022
;Circulation (New York, N.Y.);B1;;0009-7322
;Ciência e Natura;C ;;2179-460X
;Climatic Change;B1;;0165-0009
;Clinical Neurophysiology;B2;;1388-2457
;Cluster Computing;B2;;1386-7857
;Cognitive Processing (Print);B1;;1612-4782
;Colloid and Polymer Science (Print);B3;;0303-402X
;Combinatorics, Probability & Computing (Print);B2;;0963-5483
;Communications in Computer and Information Science (Print);B3;;1865-0929
;Compel (Bradford);B2;;0332-1649
;Computational & Applied Mathematics;B2;;1807-0302
;Computational Biology and Chemistry (Print);B1;;1476-9271
;Computational Linguistics - Association For Computational Linguistics (Online);A2;;1530-9312
;Computational Optimization and Applications;B1;;0926-6003
;Computational and Mathematical Organization Theory;B2;;1381-298X
;Computer (Long Beach, Calif. Print);A1;;0018-9162
;Computer Applications in Engineering Education;B3;;1061-3773
;Computer Communications;A2;;0140-3664
;Computer Graphics Forum (Print);A2;;0167-7055
;Computer Journal (Print);B1;;0010-4620
;Computer Languages, Systems & Structures;B3;;1477-8424
;Computer Methods and Programs in Biomedicine (Print);B1;;0169-2607
;Computer Methods in Applied Mechanics and Engineering;A1;;0045-7825
;Computer Networks (1999);A2;;1389-1286
;Computer Physics Communications;A1;;0010-4655
;Computer Science and Engineering;C ;;2163-1492
;Computer Standards & Interfaces;B1;;0920-5489
;Computer Supported Cooperative Work;B1;;0925-9724
;Computer Technology and Application;C ;;1934-7332
;Computer Vision and Image Understanding (Print);A1;;1077-3142
;Computerized Medical Imaging and Graphics;B1;;0895-6111
;Computers & Chemical Engineering;A1;;0098-1354
;Computers & Electrical Engineering;B2;;0045-7906
;Computers & Fluids;A2;;0045-7930
;Computers & Graphics;B1;;0097-8493
;Computers & Industrial Engineering;A2;;0360-8352
;Computers & Operations Research;A1;;0305-0548
;Computers and Electronics in Agriculture;A2;;0168-1699
;Computers in Biology and Medicine;B1;;0010-4825
;Computers in Entertainment;B2;;1544-3574
;Computers in Human Behavior;A2;;0747-5632
;Computers in Industry;A2;;0166-3615
;Computing (Wien. Internet);B1;;1436-5057
;Computing (Wien. Print);B1;;0010-485X
;Computing and Informatics;B3;;1335-9150
;Computing in Science & Engineering (Print);B1;;1521-9615
;Concurrency and Computation;B2;;1532-0626
;Control Engineering Practice;A2;;0967-0661
;Corrosion Science;B2;;0010-938X
;Creative Education;C ;;2151-4755
;Crop Science;B3;;0011-183X
;Culturas Midiáticas;C ;;1983-5930
;Current Medicinal Chemistry;B2;;0929-8673
;Cyber Journals: Multidisciplinary Journals in Science and Technology;C ;;1925-2676
;Cybernetics & Human Knowing;C ;;0907-0877
;Cytometry. Part A;B2;;1552-4922
;Data & Knowledge Engineering;A2;;0169-023X
;Decision Support Systems;A2;;0167-9236
;Dementia & Neuropsychologia;B5;;1980-5764
;Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas;C ;;2176-462X
;Discrete Applied Mathematics;B1;;0166-218X
;Discrete Mathematics;B1;;0012-365X
;Discrete Mathematics and Theoretical Computer Science (Online);B3;;1365-8050
;Discrete Mathematics, Algorithms and Applications;B5;;1793-8309
;Drug and Alcohol Dependence;B2;;0376-8716
;E.T.C. Educação, Tecnologia e Cultura;B5;;1808-0588
;ELCVIA. Electronic letters on computer vision and image analysis;B5;;1577-5097
;EURASIP Journal on Audio, Speech and Music Processing (Print);B5;;1687-4714
;Earth Science Informatics (Print);B2;;1865-0473
;Ecography (Copenhagen);B1;;0906-7590
